count, date
5530686,2019-10-28 13:15:01
5530686,2019-10-28 13:15:11
5530756,2019-10-28 13:15:22
5530756,2019-10-28 13:15:31
5530778,2019-10-28 13:15:41
5530830,2019-10-28 13:15:51
5530891,2019-10-28 13:16:01
5531012,2019-10-28 13:16:12
5531012,2019-10-28 13:16:21
5531023,2019-10-28 13:16:31
5531028,2019-10-28 13:16:41
5535286,2019-10-28 13:16:51
5535451,2019-10-28 13:17:02
5535457,2019-10-28 13:17:11
5535682,2019-10-28 13:17:22
5535707,2019-10-28 13:17:32
5535707,2019-10-28 13:17:42
5535707,2019-10-28 13:17:51
5535712,2019-10-28 13:18:01
5535738,2019-10-28 13:18:11
5535762,2019-10-28 13:18:21
5535762,2019-10-28 13:18:31
5535997,2019-10-28 13:18:41
5536070,2019-10-28 13:18:52
5536070,2019-10-28 13:19:01
5536155,2019-10-28 13:19:11
5536166,2019-10-28 13:19:22
5536166,2019-10-28 13:19:31
5536213,2019-10-28 13:19:41
5536213,2019-10-28 13:19:51
5536276,2019-10-28 13:20:01
5536383,2019-10-28 13:20:11
5536413,2019-10-28 13:20:21
5536530,2019-10-28 13:20:31
5536548,2019-10-28 13:20:41
5536613,2019-10-28 13:20:52
5536673,2019-10-28 13:21:01
5536691,2019-10-28 13:21:12
5536717,2019-10-28 13:21:22
5536717,2019-10-28 13:21:31
5536717,2019-10-28 13:21:41
5536820,2019-10-28 13:21:51
5536840,2019-10-28 13:22:02
5536820,2019-10-28 13:22:11
5536855,2019-10-28 13:22:21
5536855,2019-10-28 13:22:32
5536951,2019-10-28 13:22:42
5536962,2019-10-28 13:22:51
5536980,2019-10-28 13:23:01
5537051,2019-10-28 13:23:11
5537057,2019-10-28 13:23:22
5537057,2019-10-28 13:23:31
5537206,2019-10-28 13:23:42
5537206,2019-10-28 13:23:51
5537250,2019-10-28 13:24:01
5537255,2019-10-28 13:24:11
5537266,2019-10-28 13:24:21
5537357,2019-10-28 13:24:32
5537371,2019-10-28 13:24:42
5537371,2019-10-28 13:24:52
5537381,2019-10-28 13:25:02
5537401,2019-10-28 13:25:12
5537447,2019-10-28 13:25:22
5537500,2019-10-28 13:25:32
5537605,2019-10-28 13:25:42
5537605,2019-10-28 13:25:52
5537642,2019-10-28 13:26:02
5537646,2019-10-28 13:26:12
5537804,2019-10-28 13:26:22
5537804,2019-10-28 13:26:31
5537815,2019-10-28 13:26:42
5538068,2019-10-28 13:26:52
5538118,2019-10-28 13:27:03
5538068,2019-10-28 13:27:11
5538123,2019-10-28 13:27:21
5539076,2019-10-28 13:27:31
5539127,2019-10-28 13:27:43
5539127,2019-10-28 13:27:51
5539162,2019-10-28 13:28:01
5539172,2019-10-28 13:28:11
5539276,2019-10-28 13:28:21
5539346,2019-10-28 13:28:31
5539361,2019-10-28 13:28:43
5539429,2019-10-28 13:28:53
5539429,2019-10-28 13:29:03
5539549,2019-10-28 13:29:11
5539550,2019-10-28 13:29:21
5539664,2019-10-28 13:29:33
5539857,2019-10-28 13:29:43
5539868,2019-10-28 13:29:53
5539868,2019-10-28 13:30:03
5540000,2019-10-28 13:30:11
5540000,2019-10-28 13:30:23
5540032,2019-10-28 13:30:33
5540032,2019-10-28 13:30:43
5540148,2019-10-28 13:30:53
5540181,2019-10-28 13:31:03
5540181,2019-10-28 13:31:13
5540240,2019-10-28 13:31:23
5540240,2019-10-28 13:31:31
5540309,2019-10-28 13:31:43
5540357,2019-10-28 13:31:51
5540365,2019-10-28 13:32:03
5540370,2019-10-28 13:32:11
5540420,2019-10-28 13:32:23
5540420,2019-10-28 13:32:33
5540484,2019-10-28 13:32:41
5540515,2019-10-28 13:32:53
5540515,2019-10-28 13:33:03
5540566,2019-10-28 13:33:11
5540594,2019-10-28 13:33:23
5540739,2019-10-28 13:33:33
5540739,2019-10-28 13:33:43
5540784,2019-10-28 13:33:53
5540867,2019-10-28 13:34:03
5540869,2019-10-28 13:34:13
5540955,2019-10-28 13:34:23
5540955,2019-10-28 13:34:31
5540980,2019-10-28 13:34:41
5541082,2019-10-28 13:34:52
5541123,2019-10-28 13:35:01
5541168,2019-10-28 13:35:11
5541279,2019-10-28 13:35:23
5541297,2019-10-28 13:35:31
5541503,2019-10-28 13:35:41
5541528,2019-10-28 13:35:53
5541576,2019-10-28 13:36:03
5541536,2019-10-28 13:36:12
5541585,2019-10-28 13:36:22
5541643,2019-10-28 13:36:32
5541719,2019-10-28 13:36:43
5541719,2019-10-28 13:36:52
5541744,2019-10-28 13:37:02
5541757,2019-10-28 13:37:12
5541808,2019-10-28 13:37:23
5541808,2019-10-28 13:37:32
