epoch, date
1572619096109,11355863
1572619106226,11355945
1572619117506,11356050
1572619126127,11356050
1572619136119,11356160
1572619146153,11356175
1572619156162,11356175
1572619167546,11356256
1572619176149,11356256
1572619187570,11356289
1572619196202,11356289
1572619206208,11356319
1572619217589,11356349
1572619226200,11356349
1572619237592,11356494
1572619246208,11356494
1572619257614,11356502
1572619266189,11356502
1572619277612,11356547
1572619286229,11356547
1572619297625,11356608
1572619307643,11356633
1572619317647,11356768
1572619326267,11356768
1572619337746,11356825
1572619346280,11356825
1572619356263,11356930
1572619367680,11356955
1572619376303,11356972
1572619387704,11357007
1572619396287,11357007
1572619407832,11357048
1572619416337,11357048
1572619426311,11357079
1572619437743,11357150
1572619446359,11357150
1572619456363,11357186
1572619466344,11357246
1572619476352,11357273
1572619487786,11357318
1572619496378,11357318
1572619507790,11357394
1572619516406,11357394
1572619526423,11357408
1572619537808,11357494
1572619546410,11357494
1572619556442,11357599
1572619566451,11357599
1572619576460,11357649
1572619586464,11357830
1572619597866,11357863
1572619606475,11357863
1572619617869,11357946
1572619626496,11357946
1572619637885,11357991
1572619646510,11357991
1572619657910,11358109
1572619667921,11358144
1572619676532,11358144
1572619686652,11358199
1572619697949,11358219
1572619706675,11358219
1572619716570,11358290
1572619726588,11358290
1572619737976,11358340
1572619747994,11358448
1572619756565,11358448
1572619768003,11359375
1572619776586,11359375
1572619786620,11359397
1572619798012,11359602
1572619806610,11359602
1572619816638,11359613
1572619828025,11359667
1572619836646,11359667
1572619848033,11359690
1572619856655,11359690
1572619868071,11359839
1572619876682,11359839
1572619888103,11359870
1572619896691,11359900
1572619908088,11359943
1572619916672,11359943
1572619926697,11360029
1572619938102,11360029
1572619948093,11360029
1572619958139,11360115
1572619966725,11360134
1572619978127,11360176
1572619988243,11360231
1572619998143,11360237
1572620008295,11360258
1572620016765,11360258
1572620028155,11360362
1572620038172,11360362
1572620046797,11360374
1572620056791,11360429
1572620068196,11360455
1572620078206,11360507
1572620088205,11360507
1572620098215,11360614
1572620108231,11360665
1572620118249,11360710
1572620128230,11360840
